Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
522949.466688,0.059551,0.000871,-0.285662,-88.000000,0
522949.564058,0.118757,-0.103667,0.053351,-88.000000,0
522949.661409,-0.422025,0.508794,-0.281929,-88.000000,0
522949.758761,0.211050,0.037423,-0.541149,-88.000000,0
522949.856112,-0.309990,0.165950,-0.483382,-88.000000,0
522949.953462,-0.323158,0.469528,-0.601167,-88.000000,0
522950.050810,-0.232160,0.579386,-0.134142,-88.000000,0
522950.148174,0.123138,0.221729,-0.126671,-88.000000,0
522950.245546,0.119424,-0.216204,-0.000741,-88.000000,0
522950.342898,0.046738,-0.158658,0.142646,-88.000000,0
522950.440248,-0.228189,0.118915,0.021849,-97.000000,0
522950.537600,-0.287048,0.178274,0.156570,-97.000000,0
522950.634950,0.110696,-0.152836,-0.020170,-97.000000,0
522950.732312,0.109093,-0.264397,-0.114512,-97.000000,0
522950.829653,-0.081209,-0.239880,-0.209047,-97.000000,0
522950.927034,-0.222193,-0.050214,-0.328293,-97.000000,0
522951.024385,-0.255370,0.145559,-0.233893,-97.000000,0
522951.121737,-0.092713,-0.205842,-0.180375,-97.000000,0
522951.219088,0.088185,-0.384211,-0.178669,-97.000000,0
522951.316438,-0.145433,-0.344238,-0.044302,-97.000000,0
522951.413801,-0.244467,-0.052000,-0.095115,-95.000000,0
522951.511172,-0.349234,0.113393,-0.068689,-95.000000,0
522951.608522,-0.140919,-0.000608,-0.037590,-95.000000,0
522951.705874,0.059952,-0.279950,-0.067678,-95.000000,0
522951.803224,0.176662,-0.442555,-0.088868,-95.000000,0
522951.900575,-0.025350,-0.122470,-0.178687,-95.000000,0
522951.997926,-0.377778,0.049244,-0.076750,-95.000000,0
522952.095270,-0.258036,0.110353,-0.072227,-95.000000,0
522952.192660,0.000918,-0.275737,-0.082704,-95.000000,0
522952.290010,0.258545,-0.461760,-0.046705,-95.000000,0
522952.387362,-0.019919,-0.169379,0.046827,-84.000000,0
522952.484712,-0.328819,-0.033117,-0.010700,-84.000000,0
522952.582078,-0.339300,0.085831,0.035355,-84.000000,0
522952.679440,0.053089,-0.148564,0.057896,-84.000000,0
522952.776784,0.009852,-0.390427,-0.132723,-84.000000,0
522952.874147,-0.128978,-0.369235,-0.253807,-84.000000,0
522952.971498,-0.202104,-0.112269,-0.102342,-84.000000,0
522953.068849,-0.353331,0.083573,-0.041618,-84.000000,0
522953.166209,-0.279709,-0.089691,-0.047888,-84.000000,0
522953.263583,0.019961,-0.364159,-0.063829,-84.000000,0
522953.360910,0.160061,-0.480216,0.021411,-84.000000,0
522953.458284,-0.000717,-0.114504,0.131161,-88.000000,0
522953.555636,-0.352782,-0.047994,0.098737,-88.000000,0
522953.652984,-0.231279,0.002961,0.099958,-88.000000,0
522953.750369,0.239367,-0.228091,0.164036,-88.000000,0
522953.847719,0.243669,-0.321787,0.014104,-88.000000,0
522953.945069,-0.021152,-0.284704,-0.032714,-88.000000,0
522954.042805,-0.266633,-0.171344,0.097229,-88.000000,0
522954.140171,-0.307467,0.077303,0.071899,-88.000000,0
522954.237521,-0.069689,-0.185223,0.066519,-88.000000,0
522954.334898,0.185881,-0.497202,0.067230,-88.000000,0
522954.432254,0.023751,-0.354747,0.208493,-71.000000,0
522954.529604,-0.117706,-0.153594,0.239145,-71.000000,0
522954.626954,-0.246439,0.116762,0.246865,-71.000000,0
522954.724307,-0.081412,-0.040513,0.195931,-71.000000,0
522954.821690,0.206210,-0.310135,0.152501,-71.000000,0
522954.919040,0.092731,-0.403004,-0.004108,-71.000000,0
522955.016391,-0.080295,-0.220098,0.072879,-71.000000,0
522955.113738,-0.353070,0.044050,0.209895,-71.000000,0
522955.211093,-0.171733,0.002362,0.117412,-71.000000,0
522955.308468,0.122527,-0.318947,0.082977,-71.000000,0
522955.405827,0.260543,-0.406882,0.175718,-69.000000,0
522955.503177,-0.077259,-0.165269,0.237707,-69.000000,0
522955.600528,-0.361858,0.082657,0.160334,-69.000000,0
522955.697880,-0.112884,0.010797,0.201568,-69.000000,0
522955.795231,0.224445,-0.220182,0.171680,-69.000000,0
522955.892613,0.310005,-0.273614,0.011567,-69.000000,0
522955.989932,-0.016203,-0.201570,-0.019207,-69.000000,0
522956.087314,-0.363669,-0.045840,0.092858,-69.000000,0
522956.184665,-0.247898,0.072426,0.095708,-69.000000,0
522956.282031,0.031720,-0.146043,0.059268,-69.000000,0
522956.379367,0.360257,-0.425906,0.087761,-69.000000,0
522956.476748,-0.055949,-0.294640,0.251992,-79.000000,0
522956.574104,-0.280222,-0.050157,0.189645,-79.000000,0
522956.671451,-0.256454,0.141962,0.197609,-79.000000,0
522956.768802,0.009264,-0.110886,0.214577,-79.000000,0
522956.866154,-0.000947,-0.278491,0.134755,-79.000000,0
522956.963534,0.055597,-0.373447,-0.023471,-79.000000,0
522957.060885,-0.056148,-0.171594,0.004691,-79.000000,0
522957.158237,-0.337915,0.144291,0.082931,-79.000000,0
522957.255587,-0.223905,0.050074,0.040983,-79.000000,0
522957.352939,0.063171,-0.310883,0.072851,-79.000000,0
522957.450291,0.037606,-0.404800,0.163384,-76.000000,0
522957.547671,-0.119548,-0.160036,0.240641,-76.000000,0
522957.645020,-0.284231,0.072639,0.156561,-76.000000,0
522957.742374,-0.157569,0.182671,0.160017,-76.000000,0
522957.839734,0.157948,-0.184497,0.227525,-76.000000,0
522957.937080,0.227945,-0.256882,0.055899,-76.000000,0
522958.034457,-0.046159,-0.303786,-0.117276,-76.000000,0
522958.131808,-0.229564,-0.112270,0.045708,-76.000000,0
522958.229159,-0.301951,0.089874,0.028198,-76.000000,0
522958.326510,-0.167921,-0.138662,0.017025,-76.000000,0
522958.423862,0.027138,-0.290305,0.075145,-78.000000,0
522958.521236,-0.108145,-0.445946,0.180261,-78.000000,0
522958.618595,-0.168688,-0.185155,0.159537,-78.000000,0
522958.715945,-0.284460,0.103540,0.140208,-78.000000,0
522958.813296,-0.232899,0.060645,0.168844,-78.000000,0
522958.910648,0.100226,-0.159062,0.144886,-78.000000,0
522959.007998,0.367296,-0.287346,0.038441,-78.000000,0
522959.105280,-0.000525,-0.337880,-0.119630,-78.000000,0
522959.202618,-0.297150,-0.027999,0.074468,-78.000000,0
522959.299981,-0.247554,0.127599,0.021283,-78.000000,0
522959.397332,-0.078764,-0.187039,0.006159,-78.000000,0
522959.494683,0.143528,-0.374756,-0.025982,-74.000000,0
522959.592034,-0.258342,-0.353967,0.092104,-74.000000,0
522959.689417,-0.225607,-0.049772,0.051683,-74.000000,0
522959.786761,-0.282375,0.061730,-0.031011,-74.000000,0
522959.884115,-0.194111,0.034950,0.143763,-74.000000,0
522959.981469,-0.148493,-0.166782,0.025311,-74.000000,0
522960.078821,0.025252,-0.398068,-0.321803,-74.000000,0
522960.176198,0.016161,-0.057656,-0.201585,-74.000000,0
522960.273554,-0.113654,0.008191,-0.219024,-74.000000,0
522960.370905,-0.167924,0.035409,-0.189557,-74.000000,0
522960.468255,-0.060593,-0.086131,-0.163644,-54.000000,0
522960.565596,-0.103140,-0.280441,-0.102523,-54.000000,0
522960.662960,-0.123078,-0.252475,-0.011150,-54.000000,0
522960.760339,-0.151622,-0.166249,-0.071335,-54.000000,0
