Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
525345.808198,0.030756,-0.112228,0.016790,-98.000000,0
525345.905513,0.056447,-0.130265,0.008202,-96.000000,0
525346.002840,0.172923,-0.086932,0.090432,-96.000000,0
525346.100190,0.206436,-0.129711,-0.108595,-96.000000,0
525346.197510,-0.079240,0.258936,0.018921,-96.000000,0
525346.294832,-0.308618,-0.081476,0.241703,-96.000000,0
525346.392183,0.270722,-0.153485,0.102038,-96.000000,0
525346.489502,-0.016776,-0.200866,0.045854,-96.000000,0
525346.586823,0.233385,-0.061087,0.074447,-96.000000,0
525346.684175,0.348655,0.151430,0.199290,-96.000000,0
525346.781493,0.134738,0.354823,0.024836,-96.000000,0
525346.878815,-0.687688,0.394315,0.061285,-95.000000,0
525346.976140,-0.031181,-0.406474,0.131635,-95.000000,0
525347.073488,-0.471125,-0.468969,0.060413,-95.000000,0
525347.170807,0.307406,0.129105,-0.108493,-95.000000,0
525347.268158,-0.154709,-0.307963,-0.194032,-95.000000,0
525347.365479,-0.167692,-0.069321,0.243026,-95.000000,0
525347.462830,-0.150240,-0.103874,0.108426,-95.000000,0
525347.560134,-0.118028,-0.291510,0.060133,-95.000000,0
525347.657471,0.675492,-0.011707,0.112742,-95.000000,0
525347.754822,0.502594,-0.034274,-0.018495,-95.000000,0
525347.852143,-0.235476,0.277557,-0.020983,-83.000000,0
525347.949463,-0.219285,-0.016369,-0.019039,-83.000000,0
525348.046814,-0.182677,-0.444047,0.200094,-83.000000,0
525348.144136,-0.328567,-0.025012,-0.131409,-83.000000,0
525348.241459,0.469950,0.955082,0.115331,-83.000000,0
525348.338793,-0.754054,-0.053749,0.046517,-83.000000,0
525348.436127,-0.180385,-0.120082,0.150629,-83.000000,0
525348.533463,-0.250302,-0.330418,0.087971,-83.000000,0
525348.630799,0.278522,-0.076954,0.031172,-83.000000,0
525348.728120,0.365691,0.202601,0.242107,-83.000000,0
525348.825853,-0.028067,0.528196,0.186804,-83.000000,0
525348.923186,-0.606929,0.502981,0.016717,-93.000000,0
525349.020537,-0.176036,-0.453915,0.216879,-93.000000,0
525349.117858,-0.604817,-0.433116,0.066038,-93.000000,0
