Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
525133.100021,-0.097900,-0.075994,0.079198,-84.000000,0
525133.197369,0.029544,0.251576,0.207144,-84.000000,0
525133.294690,-0.158648,0.210874,0.195331,-84.000000,0
525133.392041,0.055128,-0.063831,0.167700,-84.000000,0
525133.489361,0.315768,-0.157644,0.010657,-84.000000,0
525133.586682,0.090639,-0.194585,-0.081714,-84.000000,0
525133.684032,-0.003656,0.092849,-0.036106,-84.000000,0
525133.781126,-0.217648,0.352861,0.120884,-84.000000,0
525133.878468,0.161538,0.111898,-0.004982,-84.000000,0
525133.975789,0.183060,-0.274822,0.056634,-84.000000,0
525134.073140,0.186487,-0.353109,0.204817,-95.000000,0
525134.170461,0.001019,0.126284,0.155071,-95.000000,0
525134.267782,-0.204738,0.271232,0.117988,-95.000000,0
525134.365134,-0.042102,0.158797,0.105075,-95.000000,0
525134.462453,0.249005,-0.099875,0.094754,-95.000000,0
525134.559804,0.320001,-0.152788,-0.038411,-95.000000,0
525134.657125,0.047290,-0.039044,-0.016534,-95.000000,0
525134.754476,-0.247869,0.187087,0.025531,-95.000000,0
525134.851796,-0.180206,0.202821,0.016241,-95.000000,0
525134.949117,0.119903,-0.033681,0.043977,-95.000000,0
525135.046472,0.404018,-0.249672,0.118182,-85.000000,0
525135.143788,0.119304,-0.102487,0.149249,-85.000000,0
525135.241139,-0.157405,0.128923,0.153087,-85.000000,0
525135.338460,-0.150746,0.233269,0.167311,-85.000000,0
525135.435812,0.060639,0.077632,0.148784,-85.000000,0
525135.533130,0.267398,-0.116592,-0.090480,-85.000000,0
525135.630454,0.200815,-0.077771,-0.152879,-85.000000,0
525135.727803,-0.026814,0.096277,-0.015142,-85.000000,0
525135.825124,-0.296241,0.282175,0.090646,-85.000000,0
525135.922475,-0.034206,0.090591,-0.004042,-85.000000,0
525136.019795,0.234365,-0.141609,-0.025320,-85.000000,0
525136.117146,0.304382,-0.235834,0.135188,-78.000000,0
525136.214458,0.004833,0.100377,0.071551,-78.000000,0
525136.311818,-0.138687,0.244847,0.099414,-78.000000,0
