Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
523254.414379,0.045265,0.132081,-0.003265,-57.000000,0
523254.511731,0.091678,0.161166,0.007861,-90.000000,0
523254.609081,0.125717,0.094147,0.045395,-90.000000,0
523254.706432,0.143496,0.082017,0.009324,-90.000000,0
523254.803783,0.036564,-0.050971,0.125662,-90.000000,0
523254.901116,0.023504,-0.111192,0.031319,-90.000000,0
523254.998474,0.053865,-0.103828,-0.006681,-90.000000,0
523255.095806,0.089231,-0.092146,-0.152168,-90.000000,0
523255.193157,0.020780,-0.015306,-0.311688,-90.000000,0
523255.290508,-0.065512,0.191113,0.009484,-90.000000,0
523255.387859,-0.055305,0.221001,0.110216,-90.000000,0
523255.485210,0.014103,0.082040,0.221761,-85.000000,0
523255.582573,-0.001789,-0.031663,0.119406,-85.000000,0
523255.679912,0.044863,-0.058701,-0.105404,-85.000000,0
523255.777264,0.126756,0.007624,-0.411680,-85.000000,0
523255.874616,0.047856,0.229268,-0.182461,-85.000000,0
523255.971967,0.060496,0.249755,0.082294,-85.000000,0
523256.069338,-0.075339,0.344818,0.323416,-85.000000,0
523256.166667,-0.060361,0.149596,0.190091,-85.000000,0
523256.264016,-0.021938,-0.153330,-0.264113,-85.000000,0
523256.361386,0.147178,-0.083417,-0.378262,-85.000000,0
523256.458721,0.154629,0.256545,-0.239361,-84.000000,0
523256.556074,0.069324,0.198060,0.164413,-84.000000,0
523256.653423,0.284482,0.250642,0.388845,-84.000000,0
523256.750774,0.200593,-0.069160,-0.005114,-84.000000,0
523256.848138,0.024070,-0.084646,-0.399442,-84.000000,0
523256.945476,-0.000159,0.206298,-0.272998,-84.000000,0
523257.042828,0.174853,0.225682,0.041367,-84.000000,0
523257.140209,0.061678,0.212109,0.190653,-84.000000,0
523257.237560,0.096700,0.193956,0.172726,-84.000000,0
523257.334912,0.011691,-0.079120,-0.062353,-84.000000,0
523257.432261,-0.082193,-0.025324,-0.526395,-84.000000,0
523257.529594,0.059715,0.334139,-0.044036,-84.000000,0
523257.626965,-0.002347,0.227729,0.356471,-84.000000,0
523257.724316,0.028799,0.212118,0.257704,-84.000000,0
523257.821667,0.083781,-0.019354,-0.058551,-84.000000,0
523257.919018,-0.066520,-0.038601,-0.495233,-84.000000,0
523258.016370,-0.001214,0.163256,-0.318464,-84.000000,0
523258.113707,-0.053835,0.241697,0.101871,-84.000000,0
523258.211071,-0.056393,0.293155,0.287637,-84.000000,0
523258.308422,-0.043193,0.173550,0.281548,-84.000000,0
523258.405773,-0.160237,-0.183014,-0.241334,-84.000000,0
523258.503124,-0.089760,-0.002057,-0.343956,-89.000000,0
523258.600475,-0.038994,0.253597,-0.065024,-89.000000,0
523258.697826,-0.062739,0.207293,0.212900,-89.000000,0
523258.795182,0.034571,0.107971,0.267662,-89.000000,0
523258.892528,-0.022226,-0.002482,-0.135800,-89.000000,0
523258.989880,-0.050022,0.068243,-0.451781,-89.000000,0
523259.087231,0.056224,0.338072,-0.218663,-89.000000,0
523259.184985,-0.102796,0.266959,0.155048,-89.000000,0
523259.282326,-0.090243,0.148037,0.350851,-89.000000,0
523259.379676,-0.050202,-0.030521,0.009595,-89.000000,0
523259.477016,-0.066850,0.012820,-0.406273,-82.000000,0
523259.574379,-0.154776,0.248924,-0.401833,-82.000000,0
523259.671722,-0.132116,0.201886,0.108002,-82.000000,0
523259.769080,-0.022100,0.240873,0.210589,-82.000000,0
523259.866431,-0.145049,0.127648,0.060995,-82.000000,0
523259.963782,0.053355,-0.071488,-0.235214,-82.000000,0
523260.061145,0.095709,0.039790,-0.404378,-82.000000,0
523260.158484,0.126502,0.275726,0.013872,-82.000000,0
523260.255835,0.096956,0.386540,0.074266,-82.000000,0
523260.353188,-0.006412,0.219776,0.350632,-82.000000,0
523260.450538,-0.085337,-0.147100,-0.115973,-82.000000,0
523260.547889,-0.002685,-0.009573,-0.618063,-93.000000,0
523260.645240,-0.116261,0.317928,-0.119402,-93.000000,0
523260.742592,-0.112432,0.246049,0.332887,-93.000000,0
523260.839943,0.017315,0.164400,0.208706,-93.000000,0
523260.937294,0.043954,-0.016273,-0.159319,-93.000000,0
523261.034644,0.092318,0.103825,-0.487952,-93.000000,0
523261.131996,0.275068,0.315464,-0.118976,-93.000000,0
523261.229346,0.053994,0.263271,0.298909,-93.000000,0
523261.326712,-0.069881,0.174006,0.269713,-93.000000,0
523261.424063,-0.028387,0.042310,-0.315363,-93.000000,0
523261.521430,-0.114845,-0.001554,-0.420074,-95.000000,0
523261.618781,0.015913,0.331688,-0.373645,-95.000000,0
523261.716132,-0.079022,0.271336,0.262458,-95.000000,0
523261.813483,0.004622,0.265582,0.363225,-95.000000,0
523261.910824,0.106720,0.107176,-0.031704,-95.000000,0
523262.008186,0.101843,-0.057619,-0.417118,-95.000000,0
523262.105536,-0.137313,0.177948,-0.343163,-95.000000,0
523262.202887,0.027299,0.282260,0.072968,-95.000000,0
523262.300239,-0.007983,0.215690,0.267905,-95.000000,0
523262.397579,0.050940,0.131610,0.137160,-95.000000,0
523262.494941,0.038853,-0.023640,-0.364179,-91.000000,0
523262.592292,0.045418,0.022044,-0.452882,-91.000000,0
523262.689636,-0.051579,0.252046,0.077341,-91.000000,0
523262.786994,0.058062,0.290499,0.297526,-91.000000,0
523262.884345,0.193726,0.213914,0.292929,-91.000000,0
523262.981696,0.264065,0.051310,-0.203022,-91.000000,0
523263.079047,0.281945,0.040953,-0.544465,-91.000000,0
523263.176398,0.371460,0.385128,-0.191222,-91.000000,0
523263.273744,0.119000,0.271977,0.261485,-91.000000,0
523263.371100,0.054373,0.228861,0.359660,-91.000000,0
523263.468451,0.126240,0.035184,-0.010952,-91.000000,0
523263.565803,0.054302,-0.065573,-0.471640,-89.000000,0
523263.663154,0.128891,0.223294,-0.265973,-89.000000,0
523263.760506,-0.023714,0.160266,0.400205,-89.000000,0
523263.857857,0.159491,0.146377,0.349114,-89.000000,0
523263.955208,0.179322,0.073755,-0.168816,-89.000000,0
523264.052559,0.232513,0.174003,-0.473802,-89.000000,0
523264.149816,0.250914,0.323901,-0.231970,-89.000000,0
523264.247167,0.094462,0.193996,0.147041,-89.000000,0
523264.344518,0.099883,0.129909,0.277556,-89.000000,0
523264.441869,0.100382,-0.010512,0.027143,-89.000000,0
523264.539235,0.127837,0.070494,-0.264277,-84.000000,0
523264.636582,0.026153,0.216888,-0.289952,-84.000000,0
523264.733922,0.164107,0.197548,0.073792,-84.000000,0
523264.831274,0.154246,0.119978,0.306308,-84.000000,0
523264.928625,0.196819,0.062218,0.164295,-84.000000,0
523265.025976,0.230393,0.103181,-0.148698,-84.000000,0
523265.123328,0.213311,0.075003,-0.443223,-84.000000,0
523265.220700,0.257086,0.306170,0.031918,-84.000000,0
523265.318059,0.181752,0.174889,0.180136,-84.000000,0
523265.415410,0.248776,0.069897,0.114600,-84.000000,0
523265.512762,0.229751,0.013267,-0.060606,-84.000000,0
523265.610113,0.054726,0.014116,-0.080384,-84.000000,0
523265.707464,-0.079552,0.232113,-0.270860,-84.000000,0
523265.804815,0.016718,0.106824,-0.515874,-84.000000,0
523265.902161,0.150965,-0.141625,-0.218446,-84.000000,0
523265.999517,0.018085,0.096392,0.004449,-84.000000,0
523266.096868,0.205476,0.304083,0.143078,-84.000000,0
523266.194219,0.255621,0.288588,-0.036790,-84.000000,0
523266.291570,0.086722,0.153063,0.123285,-84.000000,0
523266.388921,0.125332,0.109261,-0.077484,-84.000000,0
523266.486251,-0.028708,0.034888,-0.275456,-84.000000,0
523266.583623,-0.034528,0.296101,-0.109694,-78.000000,0
523266.680974,0.013675,0.288773,-0.066339,-78.000000,0
523266.778327,0.155631,0.053248,0.276716,-78.000000,0
523266.875670,0.017834,-0.008680,0.230237,-78.000000,0
523266.973028,0.132887,0.040490,-0.012558,-78.000000,0
523267.070379,0.116704,0.043406,-0.340229,-78.000000,0
523267.167715,0.067374,0.134505,-0.292396,-78.000000,0
523267.265081,0.099080,0.225155,-0.017428,-78.000000,0
