Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
523373.521510,0.104629,-0.240861,-0.244541,-91.000000,0
523373.618864,-0.087880,0.007577,-0.055921,-91.000000,0
523373.716193,-0.204460,0.168929,0.003034,-91.000000,0
523373.813567,-0.111526,0.244924,-0.077913,-91.000000,0
523373.910888,-0.025104,0.151213,-0.119234,-91.000000,0
523374.008238,0.103695,0.033435,-0.063033,-91.000000,0
523374.105589,0.124277,-0.262651,-0.110926,-91.000000,0
523374.202858,0.227167,-0.175246,-0.030951,-91.000000,0
523374.300202,-0.226652,-0.064054,0.030337,-91.000000,0
523374.397550,-0.267770,0.107665,-0.027633,-91.000000,0
523374.494910,-0.142305,0.089429,0.006781,-90.000000,0
523374.592261,0.058588,-0.082319,0.002036,-90.000000,0
523374.689582,0.207636,-0.185655,-0.127206,-90.000000,0
523374.786930,0.041225,-0.160367,-0.241229,-90.000000,0
523374.884285,-0.101313,0.069105,-0.189870,-90.000000,0
523374.981650,-0.172127,0.169368,-0.027225,-90.000000,0
523375.078987,-0.042686,-0.010354,-0.126182,-90.000000,0
523375.176337,0.086981,-0.230188,-0.146650,-90.000000,0
523375.273688,0.106436,-0.281800,-0.036745,-90.000000,0
523375.371021,-0.059931,-0.084518,0.019398,-90.000000,0
523375.468390,-0.208674,0.173709,-0.049176,-96.000000,0
523375.565728,-0.131934,0.138332,0.029180,-96.000000,0
523375.663081,0.047602,-0.121674,-0.007197,-96.000000,0
523375.760413,0.124729,-0.364454,-0.218645,-96.000000,0
523375.857765,-0.066321,-0.171794,-0.222128,-96.000000,0
523375.955115,-0.260301,0.109969,-0.087512,-96.000000,0
523376.052463,-0.227930,0.219646,-0.127435,-96.000000,0
523376.149818,-0.018502,-0.186342,-0.122171,-96.000000,0
523376.247151,0.127137,-0.437106,-0.056040,-96.000000,0
523376.344522,-0.064120,-0.179822,0.018411,-96.000000,0
523376.441870,-0.270783,0.122645,-0.086936,-96.000000,0
523376.539221,-0.268931,0.170407,-0.015204,-91.000000,0
523376.636542,0.044158,-0.083384,0.002475,-91.000000,0
523376.733893,0.192207,-0.277959,-0.161045,-91.000000,0
523376.831244,0.031653,-0.229893,-0.206330,-91.000000,0
523376.928612,-0.277755,0.027764,-0.129686,-91.000000,0
523377.025946,-0.317708,0.115369,-0.144834,-91.000000,0
523377.123298,-0.040660,-0.166984,-0.173123,-91.000000,0
523377.220649,0.144449,-0.275505,-0.071279,-91.000000,0
523377.317996,0.153396,-0.286699,0.013564,-91.000000,0
523377.415351,-0.143244,-0.005948,-0.006951,-91.000000,0
523377.512672,-0.420757,0.052571,0.023606,-82.000000,0
523377.610042,-0.029036,-0.020817,-0.000480,-82.000000,0
523377.707374,0.259041,-0.193894,-0.154228,-82.000000,0
523377.804725,0.253887,-0.217488,-0.269590,-82.000000,0
523377.902075,-0.097292,-0.038165,-0.144669,-82.000000,0
523377.999428,-0.449087,0.120496,-0.101183,-82.000000,0
523378.096778,-0.113154,-0.113003,-0.133245,-82.000000,0
523378.194117,0.217426,-0.229856,-0.175384,-82.000000,0
523378.291481,0.178856,-0.288867,-0.039764,-82.000000,0
523378.388831,-0.107321,0.041896,-0.018116,-82.000000,0
523378.486182,-0.392852,0.088859,-0.005628,-91.000000,0
523378.583529,-0.098299,0.023532,-0.035628,-91.000000,0
523378.680856,0.181333,-0.200663,-0.103538,-91.000000,0
523378.778205,0.258756,-0.191901,-0.261238,-91.000000,0
523378.875554,-0.064331,-0.030963,-0.222619,-91.000000,0
523378.972907,-0.385759,0.091544,-0.056135,-91.000000,0
523379.070259,-0.304624,0.040720,-0.173045,-91.000000,0
523379.167511,0.155356,-0.207955,-0.203412,-91.000000,0
523379.264861,0.286845,-0.293641,-0.097999,-91.000000,0
523379.362212,-0.035989,-0.056518,-0.045804,-91.000000,0
523379.459563,-0.290636,0.125094,-0.060048,-91.000000,0
523379.556892,-0.151615,0.154638,-0.059349,-91.000000,0
523379.654235,0.079113,-0.163136,-0.116947,-91.000000,0
523379.751587,0.193047,-0.259553,-0.357653,-91.000000,0
523379.848937,-0.114833,-0.164061,-0.337048,-91.000000,0
523379.946288,-0.308820,0.102138,-0.144762,-91.000000,0
523380.043640,-0.294161,0.145237,-0.156226,-91.000000,0
523380.140994,0.022755,-0.103164,-0.247964,-91.000000,0
523380.238341,0.186105,-0.312898,-0.214204,-91.000000,0
523380.335692,-0.088997,-0.183015,-0.074659,-91.000000,0
523380.433043,-0.203544,0.128908,-0.048930,-91.000000,0
523380.530364,-0.250062,0.197063,-0.016769,-84.000000,0
523380.627716,-0.039690,0.036004,-0.143874,-84.000000,0
523380.725066,0.217007,-0.170462,-0.204082,-84.000000,0
523380.822402,0.160107,-0.192051,-0.470045,-84.000000,0
523380.919768,-0.060486,0.048880,-0.337027,-84.000000,0
523381.017119,-0.368461,0.236242,-0.142725,-84.000000,0
523381.114471,-0.161848,0.057104,-0.268679,-84.000000,0
523381.211822,0.167415,-0.212685,-0.296340,-84.000000,0
523381.309173,0.221963,-0.200773,-0.156227,-84.000000,0
523381.406512,-0.011095,0.016483,-0.108928,-84.000000,0
523381.503854,-0.271025,0.216009,-0.098400,-82.000000,0
523381.601196,-0.107100,0.198306,-0.127750,-82.000000,0
523381.698546,0.188756,0.012011,-0.164733,-82.000000,0
523381.795898,0.274340,-0.158578,-0.368235,-82.000000,0
523381.893248,0.011192,-0.026305,-0.415806,-82.000000,0
523381.990601,-0.179064,0.227903,-0.200749,-82.000000,0
523382.087954,-0.190316,0.264498,-0.205397,-82.000000,0
523382.185302,0.039756,-0.020935,-0.311651,-82.000000,0
523382.282653,0.265658,-0.214976,-0.228136,-82.000000,0
523382.379973,0.019828,-0.153574,-0.134843,-82.000000,0
523382.477325,-0.049483,0.112612,-0.101598,-82.000000,0
523382.574675,-0.163116,0.263377,-0.070887,-93.000000,0
523382.672044,-0.031002,0.121243,-0.123417,-93.000000,0
523382.769370,0.315920,-0.086480,-0.163745,-93.000000,0
523382.866729,0.273005,-0.098097,-0.363241,-93.000000,0
523382.964081,0.061326,0.122677,-0.338729,-93.000000,0
523383.061431,-0.120456,0.342558,-0.178194,-93.000000,0
523383.158783,-0.023248,0.291903,-0.229058,-93.000000,0
523383.256102,0.219212,-0.084304,-0.192493,-93.000000,0
523383.353452,0.382246,-0.271503,-0.159161,-93.000000,0
523383.450808,0.036946,0.001469,-0.079576,-93.000000,0
523383.548157,-0.088776,0.319271,-0.088289,-89.000000,0
523383.645507,-0.010396,0.183806,-0.036475,-89.000000,0
523383.742859,0.412378,-0.271683,-0.034777,-89.000000,0
