Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
522845.924348,0.134262,0.134405,-0.195453,-67.000000,0
522846.021700,0.078046,0.108831,-0.287304,-92.000000,0
522846.119050,-0.022455,0.214021,-0.483029,-92.000000,0
522846.216432,-0.085141,0.223279,-0.388719,-92.000000,0
522846.313779,-0.115213,0.358138,-0.206106,-92.000000,0
522846.411134,0.067225,0.324603,-0.044804,-92.000000,0
522846.508485,0.146565,0.316110,-0.088356,-92.000000,0
522846.605836,0.006752,0.222285,-0.314467,-92.000000,0
522846.703207,0.034317,0.179080,-0.535399,-92.000000,0
522846.800539,0.203741,0.219917,-0.288034,-92.000000,0
522846.897920,0.169088,0.440826,-0.314216,-92.000000,0
522846.995270,0.186353,0.353915,-0.099893,-90.000000,0
522847.092622,0.150278,0.341729,0.038974,-90.000000,0
522847.189973,0.132808,0.193575,-0.144937,-90.000000,0
522847.287325,0.092677,0.281177,-0.380469,-90.000000,0
522847.384675,0.036128,0.489329,-0.624602,-90.000000,0
522847.482057,0.100308,0.380540,-0.277287,-90.000000,0
522847.579408,0.091539,0.416772,0.028040,-90.000000,0
522847.676766,0.115372,0.318408,0.076359,-90.000000,0
522847.774110,0.034719,0.325393,-0.247767,-90.000000,0
522847.871461,0.026730,0.369825,-0.369669,-90.000000,0
522847.968812,0.131787,0.569031,-0.481325,-100.000000,0
522848.066115,0.109815,0.446823,0.049386,-100.000000,0
522848.168955,0.006238,0.434543,0.111672,-100.000000,0
522848.266297,0.053677,0.302198,-0.176372,-100.000000,0
522848.363648,0.131436,0.277276,-0.377654,-100.000000,0
522848.461000,0.071657,0.371305,-0.532577,-100.000000,0
522848.558379,0.043624,0.440802,-0.324343,-100.000000,0
522848.655723,-0.006178,0.539432,0.029573,-100.000000,0
522848.753084,-0.071694,0.462557,0.151557,-100.000000,0
522848.850431,0.114493,0.238840,-0.261305,-100.000000,0
522848.947786,0.036047,0.331137,-0.503954,-97.000000,0
522849.045540,0.033950,0.531901,-0.429877,-97.000000,0
522849.142903,0.024328,0.502693,-0.042896,-97.000000,0
522849.240252,0.020013,0.411033,0.052999,-97.000000,0
522849.337608,0.046518,0.309798,-0.218412,-97.000000,0
522849.434956,0.003299,0.307772,-0.479198,-97.000000,0
522849.532306,0.035764,0.370906,-0.594880,-97.000000,0
522849.629658,-0.123504,0.440643,-0.176250,-97.000000,0
522849.727040,-0.097901,0.522728,-0.050912,-97.000000,0
522849.824391,-0.183319,0.420281,0.048287,-97.000000,0
522849.921721,-0.021189,0.232137,-0.248637,-97.000000,0
522850.019092,-0.129475,0.329008,-0.476373,-81.000000,0
522850.116444,-0.091260,0.596958,-0.526486,-81.000000,0
522850.213794,-0.046449,0.457884,-0.108645,-81.000000,0
522850.311177,-0.093485,0.405832,0.082886,-81.000000,0
522850.408527,-0.078417,0.320594,-0.068928,-81.000000,0
522850.505878,-0.175930,0.293344,-0.514829,-81.000000,0
522850.603219,-0.121802,0.309121,-0.548974,-81.000000,0
522850.700580,-0.299322,0.419185,-0.105724,-81.000000,0
522850.797941,-0.303386,0.467301,-0.157987,-81.000000,0
522850.895313,-0.306827,0.339086,0.162987,-81.000000,0
522850.992664,-0.280546,0.212594,-0.157631,-91.000000,0
522851.090016,-0.351276,0.279281,-0.619337,-91.000000,0
522851.187352,-0.310821,0.633661,-0.566303,-91.000000,0
522851.284718,-0.354229,0.437378,0.022888,-91.000000,0
522851.382065,-0.406845,0.347829,0.140908,-91.000000,0
522851.479451,-0.352721,0.127797,-0.059978,-91.000000,0
522851.576801,-0.373714,0.151405,-0.628818,-91.000000,0
522851.674152,-0.353679,0.218023,-0.737803,-91.000000,0
522851.771503,-0.473598,0.260024,-0.240155,-91.000000,0
522851.868869,-0.410470,0.357851,0.006181,-91.000000,0
522851.966205,-0.398011,0.254410,0.128142,-82.000000,0
522852.063556,-0.316024,0.106898,-0.296443,-82.000000,0
522852.160938,-0.352836,0.148978,-0.514220,-82.000000,0
522852.258289,-0.410952,0.351693,-0.447713,-82.000000,0
