Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
524990.017020,0.120535,0.162619,-0.223212,-84.000000,0
524990.114371,0.269696,0.175125,-0.110046,-92.000000,0
524990.211693,0.119672,0.167192,0.184190,-92.000000,0
524990.309043,0.116124,0.091089,0.240828,-92.000000,0
524990.406353,0.135173,-0.025006,-0.150869,-92.000000,0
524990.503716,0.100203,0.079711,-0.265333,-92.000000,0
524990.601036,0.054147,0.168984,-0.385307,-92.000000,0
524990.698387,-0.055412,0.289984,-0.020608,-92.000000,0
524990.795707,-0.025928,0.279807,0.260580,-92.000000,0
524990.893058,-0.030134,0.226571,0.196681,-92.000000,0
524990.990377,0.174995,-0.068649,-0.221755,-92.000000,0
524991.087699,0.034834,0.016068,-0.465508,-85.000000,0
524991.185050,0.221239,0.321726,-0.270943,-85.000000,0
524991.282371,0.061428,0.320612,0.228487,-85.000000,0
524991.379723,0.037483,0.276842,0.299048,-85.000000,0
524991.477042,0.012387,0.077340,-0.045097,-85.000000,0
524991.574387,0.025090,0.069944,-0.646116,-85.000000,0
524991.671728,-0.037391,0.274338,-0.377293,-85.000000,0
524991.769064,-0.170220,0.254237,0.052945,-85.000000,0
524991.866386,-0.000273,0.347936,0.334728,-85.000000,0
524991.963737,0.160780,0.141175,-0.018138,-85.000000,0
524992.061057,0.201652,0.063441,-0.440633,-77.000000,0
524992.158409,0.178686,0.302621,-0.687666,-77.000000,0
524992.255736,0.080692,0.304474,0.105675,-77.000000,0
524992.353081,-0.043512,0.338584,0.338814,-77.000000,0
524992.450400,0.065442,0.160910,0.135398,-77.000000,0
524992.547752,0.085512,-0.039751,-0.478592,-77.000000,0
524992.645071,-0.109803,0.127970,-0.591429,-77.000000,0
524992.742423,-0.144000,0.340061,0.018109,-77.000000,0
524992.839765,-0.063493,0.452828,0.212285,-77.000000,0
524992.937095,0.142174,0.254131,0.187807,-77.000000,0
524993.034414,0.211371,-0.029260,-0.404515,-77.000000,0
524993.131766,0.177222,0.056665,-0.518985,-81.000000,0
524993.229087,0.129728,0.343325,0.078607,-81.000000,0
524993.326438,0.046805,0.370741,0.288634,-81.000000,0
524993.423760,-0.057719,0.255083,0.181417,-81.000000,0
524993.521094,0.113792,0.066000,-0.291819,-81.000000,0
524993.618430,-0.052500,0.063260,-0.644998,-81.000000,0
524993.716179,-0.064277,0.245623,-0.076574,-81.000000,0
524993.813501,-0.030455,0.342706,0.180166,-81.000000,0
524993.910851,0.042424,0.278220,0.298665,-81.000000,0
524994.008172,0.098258,0.091854,-0.243693,-81.000000,0
524994.105503,0.080156,0.091499,-0.692105,-87.000000,0
524994.202843,0.293426,0.378700,-0.198368,-87.000000,0
524994.300194,0.089230,0.339277,0.248477,-87.000000,0
524994.397515,-0.076103,0.260929,0.277467,-87.000000,0
524994.494866,-0.011888,0.106843,-0.263865,-87.000000,0
524994.592186,0.061315,0.082781,-0.548037,-87.000000,0
524994.689537,0.055598,0.285292,-0.386628,-87.000000,0
524994.786864,-0.004586,0.389595,0.262935,-87.000000,0
524994.884209,0.025741,0.309396,0.222783,-87.000000,0
524994.981531,0.063004,0.087168,-0.134739,-87.000000,0
524995.078881,0.111559,0.046456,-0.578218,-76.000000,0
524995.176201,0.099954,0.379617,-0.549304,-76.000000,0
524995.273553,0.146955,0.403920,0.200196,-76.000000,0
524995.370880,0.037319,0.357451,0.322645,-76.000000,0
524995.468224,0.012425,0.139618,0.011924,-76.000000,0
524995.565545,0.018579,-0.094726,-0.625543,-76.000000,0
524995.662896,0.091586,0.039219,-0.504875,-76.000000,0
524995.760216,-0.119521,0.393178,0.061163,-76.000000,0
524995.857568,-0.011414,0.439766,0.293107,-76.000000,0
524995.954888,0.001468,0.240362,0.135831,-76.000000,0
524996.052226,0.199337,-0.060801,-0.539025,-76.000000,0
524996.149559,0.130985,0.114039,-0.520552,-79.000000,0
524996.246912,0.133861,0.409823,-0.024378,-79.000000,0
524996.344231,-0.009487,0.443365,0.347554,-79.000000,0
524996.441582,-0.058514,0.261978,0.077224,-79.000000,0
524996.538909,0.065632,-0.003328,-0.394798,-79.000000,0
