Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
523311.168424,0.405135,0.586742,0.660490,-85.000000,0
523311.265776,0.658485,0.663214,0.431665,-85.000000,0
523311.363127,0.607582,0.097814,0.474084,-85.000000,0
523311.460479,0.757621,-0.195394,0.661435,-85.000000,0
523311.557830,0.577093,-0.213100,0.682028,-85.000000,0
523311.655178,0.352201,0.129135,0.767567,-85.000000,0
523311.752520,0.466501,0.263380,0.672809,-85.000000,0
523311.849878,0.400648,0.260151,0.732996,-85.000000,0
523311.947203,0.746226,0.102288,0.755546,-85.000000,0
523312.044554,0.786303,-0.126720,0.652489,-85.000000,0
523312.141905,0.489399,-0.055347,0.443210,-83.000000,0
523312.239256,0.433898,0.081716,0.509435,-83.000000,0
523312.336604,0.403910,0.239147,0.678912,-83.000000,0
523312.433959,0.513431,0.181980,0.577124,-83.000000,0
523312.531309,0.818541,-0.007095,0.531248,-83.000000,0
523312.628660,0.827147,-0.036756,0.603411,-83.000000,0
523312.726011,0.599607,0.206263,0.560439,-83.000000,0
523312.823363,0.416553,0.465814,0.533997,-83.000000,0
523312.920713,0.521522,0.454532,0.533073,-83.000000,0
523313.018047,0.967249,0.133755,0.486182,-83.000000,0
523313.115415,0.955698,0.005139,0.296993,-85.000000,0
523313.212763,0.672743,0.263379,0.222284,-85.000000,0
523313.310118,0.397071,0.462738,0.383336,-85.000000,0
523313.407470,0.574419,0.466979,0.330646,-85.000000,0
523313.504821,0.842528,0.070363,0.339220,-85.000000,0
523313.602165,0.881014,0.011459,0.388893,-85.000000,0
523313.699522,0.813446,0.252087,0.422905,-85.000000,0
523313.796874,0.350267,0.527148,0.342424,-85.000000,0
523313.894195,0.461313,0.480271,0.390195,-85.000000,0
523313.991545,0.868373,0.152233,0.436411,-85.000000,0
523314.088896,0.949450,0.041720,0.277955,-85.000000,0
523314.186655,0.726557,0.203014,0.235084,-89.000000,0
523314.284025,0.267453,0.330084,0.417606,-89.000000,0
523314.381354,0.256923,0.462581,0.544470,-89.000000,0
523314.478708,0.661277,0.145179,0.376522,-89.000000,0
523314.576059,0.837765,-0.042077,0.415223,-89.000000,0
523314.673410,0.712413,0.191378,0.525635,-89.000000,0
523314.770761,0.246457,0.390333,0.543991,-89.000000,0
523314.868112,0.386738,0.386172,0.638921,-89.000000,0
523314.965478,0.788399,0.084040,0.586749,-89.000000,0
523315.062814,0.802906,-0.066606,0.448295,-89.000000,0
523315.160165,0.711028,-0.001052,0.299168,-101.000000,0
523315.257517,0.317751,0.251831,0.468080,-101.000000,0
523315.354868,0.362978,0.333904,0.487348,-101.000000,0
523315.452226,0.751148,-0.025593,0.468412,-101.000000,0
523315.549556,0.909407,-0.153151,0.489795,-101.000000,0
523315.646922,0.591799,0.027503,0.587208,-101.000000,0
523315.744272,0.434238,0.356872,0.502859,-101.000000,0
523315.841623,0.446158,0.389024,0.596217,-101.000000,0
523315.938974,0.806102,0.125555,0.512483,-101.000000,0
523316.036325,0.987149,-0.150040,0.426772,-101.000000,0
523316.133676,0.649117,0.004169,0.275763,-92.000000,0
523316.231005,0.335525,0.257060,0.454738,-92.000000,0
523316.328365,0.401663,0.392059,0.457326,-92.000000,0
523316.425730,0.657219,0.013280,0.444867,-92.000000,0
523316.523081,0.852167,-0.242427,0.504036,-92.000000,0
