Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304260.803826,0.002737,0.021146,-0.050154,-74.000000,0
304260.901175,-0.005518,-0.050724,-0.004066,-75.000000,0
304260.998529,-0.018420,-0.045284,-0.020726,-75.000000,0
304261.095880,0.082594,-0.003149,-0.033606,-78.000000,0
304261.193211,-0.073263,-0.124749,-0.015557,-78.000000,0
304261.290551,0.100716,0.100819,0.037281,-78.000000,0
304261.387902,-0.040315,-0.027896,0.046362,-78.000000,0
304261.485247,0.024327,0.037688,0.024615,-78.000000,0
304261.582580,0.031790,-0.041630,0.024157,-78.000000,0
304261.679926,0.172320,0.118563,-0.015008,-78.000000,0
304261.777276,0.029147,-0.260302,-0.000041,-77.000000,0
304261.874597,-0.048845,-0.016747,-0.001628,-77.000000,0
304261.971948,-0.134006,0.003925,0.004829,-77.000000,0
304262.069299,-0.031809,0.015714,0.002375,-77.000000,0
304262.166650,0.068744,0.131063,0.004347,-75.000000,0
304262.263968,-0.007535,-0.116723,0.078880,-75.000000,0
304262.361321,-0.047154,-0.000653,0.052457,-75.000000,0
304262.458673,0.004498,-0.016203,0.017540,-75.000000,0
304262.556024,0.117782,-0.068613,0.063821,-75.000000,0
304262.653345,0.006278,-0.035791,0.023218,-75.000000,0
304262.756097,0.009349,0.006704,-0.001023,-76.000000,0
304262.853448,0.024426,-0.029855,0.042749,-76.000000,0
304262.950799,0.054917,-0.015863,0.004701,-77.000000,0
304263.048120,-0.018111,-0.011000,-0.019091,-77.000000,0
304263.145472,0.000611,-0.037835,0.031997,-70.000000,0
304263.242808,0.056537,-0.012593,0.038587,-70.000000,0
304263.340142,-0.113768,-0.012973,-0.022488,-70.000000,0
304263.437493,0.096566,-0.032579,0.035814,-70.000000,0
304263.534845,-0.052398,-0.013998,0.006088,-70.000000,0
304263.632195,-0.089552,0.000726,0.064038,-70.000000,0
304263.729547,0.137735,-0.042895,0.012828,-70.000000,0
304263.826864,-0.163973,0.025545,0.007103,-80.000000,0
304263.924205,0.130423,-0.049994,0.033096,-76.000000,0
304264.021569,0.031837,-0.043022,0.004426,-76.000000,0
304264.118920,-0.138301,0.012779,0.077708,-85.000000,0
304264.216241,0.040003,-0.052666,0.042902,-85.000000,0
304264.313592,0.025360,0.014856,0.016290,-85.000000,0
304264.410944,-0.067274,-0.007902,0.104527,-85.000000,0
304264.508264,0.122941,-0.093747,0.057842,-85.000000,0
304264.605621,0.004958,-0.016669,0.031946,-85.000000,0
304264.702966,-0.113670,0.054955,0.093063,-85.000000,0
304264.800314,0.041912,-0.024568,0.041071,-78.000000,0
304264.897637,-0.143017,0.004400,0.031412,-75.000000,0
304264.994894,-0.066583,0.046804,0.072107,-75.000000,0
304265.092242,0.167476,-0.044901,-0.005205,-75.000000,0
304265.189597,-0.149055,-0.000172,-0.010826,-79.000000,0
304265.286917,-0.052571,0.027519,-0.006404,-79.000000,0
304265.384268,0.046897,-0.052114,-0.035110,-79.000000,0
304265.481619,-0.150584,0.051875,-0.057094,-79.000000,0
304265.578962,0.154894,-0.109918,-0.001648,-79.000000,0
304265.676291,-0.146821,-0.027056,-0.051987,-79.000000,0
304265.773642,-0.093287,0.051435,0.037643,-76.000000,0
304265.870991,0.088068,-0.099013,0.005359,-80.000000,0
304265.968314,-0.057941,-0.001601,-0.021715,-83.000000,0
304266.065665,-0.147896,0.025506,0.036754,-83.000000,0
304266.163016,0.113982,-0.063219,0.013826,-80.000000,0
304266.260367,-0.095740,0.057407,-0.030579,-80.000000,0
304266.357684,-0.058146,0.012908,0.025803,-80.000000,0
304266.455039,0.081464,-0.057772,0.008982,-80.000000,0
304266.649710,-0.030751,-0.019729,0.030919,-2147483648.000000,0
304266.747061,0.082687,-0.041256,0.016111,-2147483648.000000,0
304266.844413,-0.090315,0.008783,0.022300,-2147483648.000000,0
304266.941763,-0.095149,-0.001097,0.001465,-2147483648.000000,0
304267.039085,0.107076,-0.025169,-0.016597,-77.000000,0
304267.136417,-0.051337,-0.004589,-0.020486,-73.000000,0
304267.233786,-0.049112,-0.013859,0.008263,-73.000000,0
304267.331135,0.054742,-0.024000,0.008011,-73.000000,0
304267.428458,-0.143930,-0.010930,-0.020366,-73.000000,0
304267.525809,0.033788,-0.033503,0.012565,-73.000000,0
304267.623160,0.009314,-0.005893,-0.023210,-73.000000,0
304267.720480,-0.116725,0.004757,0.002743,-73.000000,0
304267.817818,0.028489,-0.041803,0.002152,-73.000000,0
304267.915184,-0.035917,0.011985,-0.011321,-73.000000,0
304268.012534,-0.073691,0.006197,0.034184,-77.000000,0
304268.109855,0.095924,-0.039372,0.005204,-77.000000,0
304268.207205,-0.164050,0.007634,-0.012609,-77.000000,0
304268.304547,-0.002403,-0.009202,0.041119,-77.000000,0
304268.401881,-0.076771,-0.007053,0.011566,-77.000000,0
304268.499228,0.004474,-0.019672,0.013076,-77.000000,0
304268.596579,0.035823,-0.024117,0.010046,-77.000000,0
304268.693931,-0.022519,-0.021929,0.023741,-77.000000,0
304268.791251,-0.051500,-0.006319,0.046918,-77.000000,0
304268.888598,-0.077033,-0.007117,0.018587,-77.000000,0
304268.985953,-0.039927,-0.019461,0.025849,-77.000000,0
304269.083288,-0.033235,-0.000949,-0.020609,-85.000000,0
304269.180624,0.003255,-0.057477,0.079558,-85.000000,0
304269.277976,-0.036471,0.002925,0.016695,-85.000000,0
304269.375328,0.033543,-0.009719,0.025717,-85.000000,0
304269.472647,0.051924,-0.034196,-0.016981,-85.000000,0
304269.569998,-0.011169,-0.016626,0.022783,-85.000000,0
304269.667333,0.049665,-0.031198,0.022927,-85.000000,0
304269.764670,-0.053366,-0.000640,-0.002506,-85.000000,0
304269.862018,0.023509,-0.033309,0.040868,-85.000000,0
304269.959271,0.010024,-0.017261,0.015159,-85.000000,0
304270.056606,0.048433,-0.008615,0.014522,-83.000000,0
304270.153939,0.004511,-0.039403,0.001582,-79.000000,0
304270.251283,-0.053031,0.004129,-0.002097,-79.000000,0
304270.348638,0.004785,-0.025920,0.028027,-79.000000,0
304270.445966,0.009847,0.007102,0.010290,-79.000000,0
304270.543316,-0.102882,-0.022548,0.029937,-79.000000,0
304270.640667,-0.059578,0.026614,0.037062,-79.000000,0
