Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304175.845917,0.072928,0.072847,-0.058014,-74.000000,0
304175.943268,0.066163,0.003271,0.060875,-74.000000,0
304176.040617,0.081445,0.029671,0.033353,-74.000000,0
304176.137971,-0.007883,-0.001493,0.013320,-74.000000,0
304176.235319,-0.036969,-0.029424,0.037617,-72.000000,0
304176.332642,0.046046,0.071334,-0.027983,-72.000000,0
304176.429993,-0.015345,0.068398,0.041491,-72.000000,0
304176.527344,-0.044688,0.029837,-0.026018,-72.000000,0
304176.624695,-0.039817,0.044942,-0.079613,-72.000000,0
304176.722038,0.097845,0.060738,-0.097041,-72.000000,0
304176.819367,-0.226025,-0.056422,0.026797,-73.000000,0
304176.916718,-0.045774,0.031216,0.003898,-74.000000,0
304177.014069,-0.004948,0.027880,0.050903,-74.000000,0
304177.111406,-0.005781,0.014694,0.012857,-74.000000,0
304177.208771,-0.030345,0.027429,-0.026084,-76.000000,0
304177.306116,-0.012589,0.004914,-0.050319,-76.000000,0
304177.403458,-0.025795,-0.007726,-0.015402,-76.000000,0
304177.500794,-0.025841,-0.002715,-0.027532,-76.000000,0
304177.598145,-0.012720,0.023450,-0.023915,-76.000000,0
304177.695496,0.018728,0.017853,-0.030633,-76.000000,0
304177.792817,-0.009635,0.027383,0.029392,-77.000000,0
304177.890168,-0.028353,0.031661,-0.005506,-77.000000,0
304177.987516,-0.058610,0.059029,-0.034745,-77.000000,0
304178.084871,-0.030927,0.021918,-0.031836,-77.000000,0
304178.279541,-0.010803,-0.006452,-0.026804,-2147483648.000000,0
304178.376893,-0.027889,-0.024237,0.079609,-2147483648.000000,0
304178.474244,0.012590,0.026033,-0.144169,-2147483648.000000,0
304178.571596,-0.036512,0.030919,0.127566,-2147483648.000000,0
304178.668926,0.012419,0.005220,-0.072948,-83.000000,0
304178.766263,0.009223,0.007653,0.042505,-83.000000,0
304178.863617,-0.005663,0.004615,0.021500,-82.000000,0
304178.960969,0.015976,0.005865,-0.017612,-78.000000,0
304179.058319,-0.000957,-0.002089,-0.014842,-78.000000,0
