Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
303581.986153,0.008191,0.019816,-0.061866,-90.000000,0
303582.083503,0.006101,-0.008619,0.039207,-90.000000,0
303582.180855,0.012060,-0.001675,0.001001,-90.000000,0
303582.278189,0.003384,-0.002302,-0.007360,-90.000000,0
303582.375526,0.009910,-0.000671,-0.015423,-90.000000,0
303582.472877,0.002209,0.010328,-0.010806,-90.000000,0
303582.570228,-0.007892,0.008951,-0.010128,-90.000000,0
303582.667579,-0.000396,0.010092,-0.021189,-90.000000,0
303582.764930,0.006156,0.007936,0.014747,-90.000000,0
303582.862270,0.001294,-0.002149,0.020112,-90.000000,0
303582.959602,0.007232,0.003048,-0.010739,-90.000000,0
303583.056953,0.002997,0.004421,-0.004354,-95.000000,0
303583.154276,0.001342,0.007880,0.000712,-2147483648.000000,0
303583.251624,-0.004528,-0.000374,0.004354,-2147483648.000000,0
303583.348976,-0.008736,0.008258,0.014633,-2147483648.000000,0
303583.446326,0.002027,0.003335,-0.002510,-2147483648.000000,0
303583.543679,-0.002033,0.000062,0.001182,-2147483648.000000,0
303583.640999,0.005287,-0.004501,0.009884,-2147483648.000000,0
303583.738349,0.067197,-0.153372,-0.121019,-94.000000,0
303583.835702,0.033396,-0.008045,0.057415,-94.000000,0
303583.933052,0.127583,-0.053497,0.250460,-94.000000,0
303584.030385,-0.065719,0.089130,-0.196337,-92.000000,0
303584.127723,-0.126337,0.079632,0.236648,-92.000000,0
303584.225070,-0.042158,-0.028344,0.068999,-92.000000,0
303584.322425,0.109450,0.078612,0.009066,-92.000000,0
303584.419776,0.064295,0.034517,0.020997,-92.000000,0
303584.517098,0.128130,0.031470,-0.010232,-92.000000,0
303584.614449,-0.092889,0.097234,-0.193564,-92.000000,0
303584.711799,0.000435,0.085516,-0.084770,-93.000000,0
303584.809133,-0.068288,0.058304,-0.076779,-93.000000,0
303584.906363,0.004080,-0.003551,0.004372,-93.000000,0
303585.003701,0.026135,-0.003100,0.031508,-82.000000,0
303585.101051,-0.002161,-0.022919,0.024194,-82.000000,0
303585.198403,0.009495,-0.005532,0.053156,-82.000000,0
303585.295755,0.010452,0.030563,0.008023,-82.000000,0
303585.393082,-0.000369,0.034567,0.022589,-82.000000,0
303585.490425,-0.000409,0.006816,-0.002824,-82.000000,0
303585.587776,0.011992,-0.008742,0.065210,-82.000000,0
303585.685127,0.008470,0.012549,-0.030792,-77.000000,0
303585.782449,0.017479,0.033778,-0.045033,-77.000000,0
303585.879799,0.042767,0.026934,0.019750,-77.000000,0
303585.977150,0.001485,-0.038990,0.055203,-77.000000,0
303586.074500,-0.019974,0.028523,0.010964,-82.000000,0
303586.171845,-0.053599,-0.044401,-0.036859,-82.000000,0
303586.269173,0.060083,0.065687,-0.063059,-82.000000,0
303586.366525,-0.000446,-0.024609,0.013307,-82.000000,0
303586.463875,-0.033480,0.015802,-0.016080,-82.000000,0
303586.561195,-0.038603,-0.016229,-0.002522,-82.000000,0
303586.658547,-0.012725,0.026748,0.014320,-82.000000,0
303586.755893,-0.122612,0.115646,-0.064568,-92.000000,0
303586.853245,-0.056900,0.077205,0.012155,-92.000000,0
303586.950600,-0.024042,-0.041913,0.055717,-92.000000,0
303587.047921,-0.068222,-0.011954,0.048073,-87.000000,0
303587.145282,0.024337,-0.005561,-0.108900,-87.000000,0
303587.242622,-0.001613,0.029615,0.018597,-87.000000,0
303587.339973,0.219440,0.050995,-0.087815,-87.000000,0
303587.437291,0.137788,-0.111939,0.092708,-87.000000,0
303587.534645,-0.191347,0.069952,-0.038869,-87.000000,0
303587.631997,0.137853,-0.206525,0.140375,-87.000000,0
303587.729347,0.157504,-0.087994,-0.138522,-87.000000,0
303587.826666,0.150159,0.132481,-0.240798,-87.000000,0
303587.924019,0.205249,0.115996,-0.096773,-87.000000,0
303588.021367,-0.085057,0.136837,0.110164,-85.000000,0
303588.118706,-0.165861,0.131663,-0.085681,-85.000000,0
303588.216042,-0.126268,0.117042,0.015999,-85.000000,0
303588.313393,-0.058166,0.063929,0.124236,-85.000000,0
303588.410744,0.063111,-0.036162,0.091437,-85.000000,0
303588.508094,0.001474,0.005939,0.089898,-85.000000,0
303588.605414,-0.086611,0.076844,0.047495,-85.000000,0
303588.702780,0.216362,-0.009105,-0.233802,-96.000000,0
303588.800111,0.045030,-0.034290,0.130658,-96.000000,0
303588.897469,-0.183929,0.203113,-0.092018,-96.000000,0
