Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304065.431674,-0.031136,0.001651,-0.174277,-85.000000,0
304065.528994,0.043638,0.015850,0.006598,-85.000000,0
304065.626345,0.048678,0.041242,0.037114,-85.000000,0
304065.723696,0.005737,0.020139,-0.078385,-85.000000,0
304065.821036,-0.010806,0.030185,-0.052101,-85.000000,0
304065.918399,0.006312,0.023871,0.049813,-82.000000,0
304066.015719,0.008047,0.031302,0.047589,-82.000000,0
304066.113070,-0.004569,0.049030,-0.027150,-82.000000,0
304066.210421,-0.002734,0.046105,-0.000867,-82.000000,0
304066.307772,0.004125,0.008400,0.045651,-82.000000,0
304066.405123,-0.020671,0.021188,-0.025143,-82.000000,0
304066.502475,-0.001486,0.030466,-0.016752,-82.000000,0
304066.599795,0.000054,0.009746,0.032800,-82.000000,0
304066.697146,-0.032728,0.025234,0.011289,-82.000000,0
304066.794497,-0.010664,-0.000769,0.053552,-82.000000,0
304066.891849,-0.001271,-0.047299,-0.039329,-90.000000,0
304066.989200,0.001420,0.000342,-0.088110,-90.000000,0
304067.086540,-0.021547,0.030733,0.025238,-90.000000,0
304067.183871,-0.002836,0.010736,0.003810,-90.000000,0
304067.281222,-0.007025,0.001841,-0.029376,-90.000000,0
304067.378573,-0.015422,0.000521,-0.036672,-90.000000,0
304067.475924,0.004493,0.003142,-0.004300,-90.000000,0
304067.573255,0.010976,0.018495,0.016903,-90.000000,0
304067.670596,0.000223,0.018046,-0.014394,-90.000000,0
304067.767934,0.012514,0.028586,-0.008237,-90.000000,0
304067.865298,0.008519,0.025549,0.013161,-82.000000,0
304067.962649,0.013074,0.015949,-0.019332,-82.000000,0
304068.059969,0.012135,0.009389,0.023385,-82.000000,0
304068.157321,0.027806,0.025744,-0.002277,-82.000000,0
304068.254673,0.043942,0.024362,0.028628,-82.000000,0
304068.352030,0.037068,0.016594,0.029115,-82.000000,0
304068.449375,0.018357,0.007632,0.032309,-82.000000,0
304068.546725,0.002273,0.004283,0.002323,-82.000000,0
304068.644046,0.028235,0.012230,-0.043348,-82.000000,0
304068.741398,0.011641,0.004983,-0.007529,-82.000000,0
304068.838749,0.016187,0.013560,-0.023001,-82.000000,0
304068.936083,-0.000710,0.020125,0.008371,-82.000000,0
304069.033440,-0.010336,0.039451,0.006606,-82.000000,0
304069.130801,0.015037,0.038178,0.017662,-82.000000,0
304069.228122,0.024438,0.025651,0.012810,-82.000000,0
304069.325473,0.033336,0.017217,0.014244,-82.000000,0
304069.422828,0.028513,0.023352,0.021097,-82.000000,0
304069.520175,0.030052,0.026473,-0.050055,-82.000000,0
304069.617496,0.028114,0.018843,-0.017700,-82.000000,0
304069.714846,0.016629,0.005284,0.036063,-82.000000,0
304069.812197,0.006066,-0.003426,-0.005956,-82.000000,0
304069.909549,-0.020883,-0.023676,-0.009742,-83.000000,0
304070.006787,0.004627,-0.015346,-0.006700,-83.000000,0
304070.104139,0.019338,-0.003416,0.032529,-83.000000,0
304070.201459,0.033356,-0.008951,-0.019858,-83.000000,0
304070.298826,0.041571,-0.013268,-0.012027,-83.000000,0
304070.396161,0.012514,-0.013728,-0.059867,-83.000000,0
304070.493511,-0.010342,0.045166,-0.007121,-83.000000,0
304070.590864,-0.009147,0.037868,0.074792,-83.000000,0
304070.688183,-0.016885,0.026045,0.057506,-83.000000,0
304070.785535,-0.037176,-0.000489,-0.008899,-83.000000,0
304070.882885,-0.004180,-0.007799,-0.001699,-79.000000,0
304070.980221,0.020291,0.012752,-0.025381,-79.000000,0
304071.077587,-0.002505,0.032481,-0.009133,-79.000000,0
304071.174908,-0.018039,0.041082,0.012673,-79.000000,0
304071.272260,-0.000107,0.042154,0.039760,-79.000000,0
304071.369610,0.021142,0.030350,-0.005715,-2147483648.000000,0
304071.466962,0.035564,0.016059,-0.007046,-2147483648.000000,0
304071.564291,0.019478,0.032978,-0.023156,-2147483648.000000,0
304071.661634,0.009513,0.042690,-0.018438,-2147483648.000000,0
304071.758984,-0.005804,0.067401,-0.015130,-2147483648.000000,0
304071.856335,0.030681,0.058928,-0.012742,-2147483648.000000,0
304071.953686,0.018212,0.045493,-0.022181,-2147483648.000000,0
304072.051037,0.009377,0.047394,-0.012864,-2147483648.000000,0
304072.148369,0.032059,0.008501,-0.025050,-2147483648.000000,0
304072.245709,0.021846,0.030902,0.013327,-2147483648.000000,0
304072.343061,-0.007036,0.046089,-0.026918,-74.000000,0
304072.440411,0.045101,0.030353,0.003647,-74.000000,0
304072.537762,-0.016826,0.049378,-0.044834,-74.000000,0
304072.635083,0.014037,0.045649,-0.029205,-74.000000,0
304072.732434,0.009650,0.036390,-0.028504,-74.000000,0
304072.829767,0.025419,0.029088,0.027610,-74.000000,0
304072.927136,-0.004705,0.010478,-0.034947,-74.000000,0
304073.024487,-0.007301,0.026234,0.007534,-74.000000,0
304073.121807,0.002022,0.020127,-0.024082,-74.000000,0
304073.219158,-0.049908,0.015319,-0.040970,-74.000000,0
304073.316516,0.074050,0.035436,0.050158,-78.000000,0
304073.413861,0.036146,0.022442,-0.018545,-78.000000,0
304073.511179,-0.047053,-0.018689,0.016942,-78.000000,0
304073.608532,-0.035912,-0.009876,-0.028710,-78.000000,0
304073.705883,-0.011649,0.028215,0.016012,-78.000000,0
304073.803234,0.049752,0.028411,0.046825,-78.000000,0
304073.900585,0.064413,-0.001398,-0.047198,-78.000000,0
304073.997906,0.028042,-0.019725,-0.060144,-78.000000,0
304074.095258,0.026162,-0.027684,0.008013,-78.000000,0
304074.192615,-0.000230,-0.011002,0.023576,-78.000000,0
304074.289959,0.060530,-0.018982,-0.168674,-84.000000,0
304074.387310,-0.030573,0.027626,0.022839,-84.000000,0
304074.484631,-0.006105,0.035409,-0.004497,-84.000000,0
304074.581982,0.000590,0.011995,-0.035596,-84.000000,0
304074.679327,-0.029194,0.004053,-0.052410,-84.000000,0
304074.776667,-0.024098,0.023903,-0.032196,-84.000000,0
304074.874035,-0.014757,0.028951,0.015985,-84.000000,0
304074.971249,-0.007922,0.046695,-0.011142,-84.000000,0
304075.068600,0.012461,0.056926,0.000122,-84.000000,0
304075.165944,0.039775,0.043297,0.015746,-84.000000,0
304075.263301,0.056839,0.019008,-0.027306,-84.000000,0
304075.360622,0.071558,0.027408,-0.010281,-80.000000,0
304075.457967,0.015124,0.024752,0.010394,-80.000000,0
304075.555324,0.021753,0.007455,-0.042701,-80.000000,0
304075.652675,0.021761,0.044512,0.006286,-80.000000,0
304075.750026,0.049728,0.026323,0.022225,-80.000000,0
304075.847361,0.009721,0.024057,-0.003242,-80.000000,0
304075.944697,-0.035895,0.029072,0.026036,-80.000000,0
304076.042048,-0.011819,0.016911,-0.065575,-80.000000,0
304076.139393,-0.021221,0.040936,0.032679,-80.000000,0
304076.236751,-0.052530,0.012523,-0.055136,-80.000000,0
304076.334072,-0.050331,0.040438,0.036688,-92.000000,0
304076.431422,0.010978,0.042827,0.010693,-92.000000,0
304076.528778,0.025043,-0.010366,-0.023990,-92.000000,0
304076.626124,0.050350,-0.038813,-0.001492,-92.000000,0
304076.723446,-0.007158,-0.020398,-0.040075,-92.000000,0
304076.820796,-0.012483,0.013946,0.038634,-92.000000,0
304076.918148,-0.013970,0.029706,0.019858,-92.000000,0
304077.015476,-0.020662,0.017935,0.012926,-92.000000,0
304077.112850,-0.025114,0.001680,0.004577,-92.000000,0
304077.307521,-0.021840,0.021235,0.010502,-2147483648.000000,0
304077.404873,0.000355,0.022149,-0.015786,-2147483648.000000,0
304077.502223,0.041171,0.019728,-0.009382,-2147483648.000000,0
304077.599572,0.053437,0.019463,0.017324,-2147483648.000000,0
304077.696895,0.062395,0.022066,-0.029390,-2147483648.000000,0
304077.794246,0.038533,0.019170,0.004329,-76.000000,0
304077.891597,-0.010538,-0.017834,-0.042462,-76.000000,0
304077.988938,0.025351,-0.027364,-0.034481,-76.000000,0
304078.086269,0.029867,0.027386,-0.011922,-76.000000,0
304078.183620,0.010854,0.024260,0.015003,-76.000000,0
304078.280971,-0.007615,0.002248,-0.006323,-76.000000,0
304078.378322,-0.012523,0.008917,0.005144,-76.000000,0
304078.475674,-0.040774,0.003327,-0.009124,-76.000000,0
304078.572994,0.019440,0.011277,-0.024939,-76.000000,0
304078.670329,0.003239,0.027880,0.020424,-76.000000,0
304078.767695,0.010508,0.028882,0.013293,-79.000000,0
304078.865047,-0.011940,0.034161,0.020995,-79.000000,0
304078.962367,-0.003962,0.013034,-0.043234,-79.000000,0
304079.059712,-0.014504,0.009580,0.000048,-79.000000,0
304079.157070,-0.001228,0.018856,-0.018273,-79.000000,0
304079.254409,0.041968,0.041195,0.022705,-79.000000,0
304079.351756,0.025999,0.034951,0.018415,-79.000000,0
304079.449092,0.002101,0.018705,-0.031946,-79.000000,0
304079.546444,-0.003917,0.046058,0.016680,-79.000000,0
304079.643794,-0.031475,0.060281,0.031662,-79.000000,0
304079.741145,-0.040862,0.041283,-0.003999,-82.000000,0
304079.838466,-0.016049,0.011261,0.001683,-82.000000,0
304079.935731,0.014781,0.028259,0.008993,-82.000000,0
304080.033080,0.021149,0.037920,-0.018801,-82.000000,0
304080.130426,-0.046145,0.041306,-0.062724,-82.000000,0
304080.227753,-0.019001,-0.013657,0.076149,-82.000000,0
304080.325103,0.038962,0.017728,-0.027781,-82.000000,0
304080.422454,-0.022941,0.043245,-0.022546,-82.000000,0
304080.519805,-0.086127,0.045115,-0.023954,-82.000000,0
304080.617130,-0.074878,0.000551,0.077763,-82.000000,0
304080.714475,-0.031646,0.011797,0.006126,-82.000000,0
304080.811828,-0.068382,0.018601,0.004401,-84.000000,0
304080.909179,-0.043547,0.039985,0.025014,-84.000000,0
304081.006531,-0.045849,0.042636,-0.012921,-84.000000,0
304081.103850,-0.012606,0.032843,-0.004130,-84.000000,0
304081.201197,0.016306,0.037588,-0.009994,-84.000000,0
304081.298552,0.027064,0.046503,-0.049854,-84.000000,0
304081.395904,0.057701,0.025025,-0.042559,-84.000000,0
304081.493254,0.045655,0.014645,-0.023200,-84.000000,0
304081.590575,0.025524,0.084128,0.049499,-84.000000,0
304081.687926,0.044143,0.085792,0.057809,-84.000000,0
304081.785277,0.081689,0.019973,-0.063387,-87.000000,0
304081.882611,0.097319,-0.011425,-0.037129,-87.000000,0
304081.979948,0.070697,0.030001,-0.019556,-87.000000,0
304082.077300,0.063572,0.059432,0.086755,-87.000000,0
304082.174651,-0.015934,0.023826,0.046687,-87.000000,0
304082.272002,-0.030463,0.003910,-0.114334,-87.000000,0
304082.369323,-0.007148,0.023229,-0.054406,-87.000000,0
304082.466689,-0.016164,0.052180,-0.038062,-87.000000,0
304082.564022,-0.016152,0.069585,0.025801,-87.000000,0
304082.661359,0.001026,0.066567,0.094245,-87.000000,0
304082.764129,0.015671,0.065148,-0.019675,-84.000000,0
304082.861449,-0.012832,0.066311,-0.026628,-84.000000,0
304082.958800,-0.008048,0.063593,0.055486,-84.000000,0
304083.056152,-0.042180,0.056138,-0.021640,-84.000000,0
304083.153502,-0.014611,-0.022744,0.004956,-84.000000,0
304083.250819,-0.082882,0.019885,-0.064273,-84.000000,0
304083.348174,-0.072027,0.032812,-0.008749,-2147483648.000000,0
304083.445525,-0.054629,0.020456,-0.025494,-2147483648.000000,0
304083.542876,-0.052879,0.024157,-0.161576,-2147483648.000000,0
304083.640226,0.005918,0.065424,0.054548,-2147483648.000000,0
304083.737548,0.002395,0.091047,0.117626,-77.000000,0
304083.834899,0.000428,0.106877,0.069524,-77.000000,0
304083.932245,-0.016602,0.100763,-0.000199,-77.000000,0
304084.029601,-0.000177,0.098012,0.001433,-77.000000,0
304084.126929,0.005402,0.080650,0.012061,-77.000000,0
304084.224274,-0.023622,0.087728,-0.027488,-77.000000,0
304084.321624,-0.011713,0.097931,-0.020799,-77.000000,0
304084.418975,0.003230,0.093115,-0.018777,-77.000000,0
304084.516318,0.031882,0.062210,0.026383,-77.000000,0
304084.613646,0.035273,0.029261,-0.021375,-77.000000,0
304084.710997,0.026509,0.007562,-0.017993,-83.000000,0
304084.808348,-0.018163,-0.000353,-0.008381,-86.000000,0
304084.905670,-0.035329,0.001052,-0.001490,-86.000000,0
304085.002938,0.009608,-0.003391,0.003768,-86.000000,0
