Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
303740.634111,-0.121455,-0.098871,-0.135381,-81.000000,0
303740.731461,-0.337283,-0.266655,-0.566348,-81.000000,0
303740.828812,-0.045007,0.147341,-0.044362,-81.000000,0
303740.926166,0.170111,0.278883,0.071847,-76.000000,0
303741.023500,-0.066676,0.177209,0.139277,-76.000000,0
303741.120835,0.066219,-0.046552,0.169392,-73.000000,0
303741.218186,-0.090530,-0.088223,0.006726,-73.000000,0
303741.315537,-0.007484,-0.032179,0.029683,-73.000000,0
303741.412888,-0.063819,-0.086911,-0.105460,-73.000000,0
303741.510239,-0.000159,-0.033431,-0.030275,-73.000000,0
303741.607591,-0.005543,-0.022780,-0.050339,-73.000000,0
303741.704941,-0.066158,-0.016595,-0.020866,-73.000000,0
303741.802293,-0.127447,-0.123813,-0.056894,-73.000000,0
303741.899613,-0.051947,-0.155629,-0.026179,-82.000000,0
303741.996965,-0.048194,-0.046951,-0.068982,-82.000000,0
303742.094315,-0.023311,-0.024997,-0.057057,-79.000000,0
303742.191667,-0.007098,-0.001826,-0.056447,-80.000000,0
303742.288998,0.014291,0.101110,-0.061826,-80.000000,0
303742.386368,-0.034814,-0.068525,-0.071953,-80.000000,0
303742.483719,-0.045550,-0.038139,-0.012689,-80.000000,0
303742.581070,-0.017243,-0.037964,-0.033157,-80.000000,0
303742.678391,-0.027166,-0.044852,-0.036586,-80.000000,0
303742.775743,-0.004974,-0.018886,-0.017417,-80.000000,0
303742.873093,-0.014665,-0.032600,-0.014407,-95.000000,0
303742.970449,0.022744,0.019326,-0.014116,-95.000000,0
303743.067805,0.012433,0.011027,-0.009205,-89.000000,0
303743.165147,0.005381,0.022458,-0.023287,-90.000000,0
303743.262497,0.014161,-0.008414,-0.024550,-90.000000,0
303743.359848,0.001538,0.008342,-0.023469,-90.000000,0
303743.457169,0.004533,-0.018597,-0.024485,-90.000000,0
303743.554538,0.001939,-0.007579,-0.032740,-90.000000,0
303743.651871,0.004418,0.018559,-0.018920,-90.000000,0
303743.749222,-0.034647,-0.046307,-0.015044,-90.000000,0
303743.846573,-0.000382,0.021718,-0.006968,-90.000000,0
303743.943904,0.077379,0.078099,-0.015672,-78.000000,0
303744.041275,0.030728,0.008625,-0.041029,-78.000000,0
303744.138626,0.009471,-0.038145,-0.059618,-86.000000,0
303744.235944,0.047344,-0.004649,0.017511,-86.000000,0
303744.333298,-0.032296,-0.037800,-0.038922,-86.000000,0
303744.430649,-0.006380,-0.026717,-0.024303,-86.000000,0
303744.528001,-0.004967,-0.025814,-0.028022,-86.000000,0
303744.625351,-0.008223,-0.020521,-0.058395,-86.000000,0
303744.722703,0.011553,-0.046165,-0.017840,-86.000000,0
303744.820041,-0.033055,-0.040576,-0.053065,-86.000000,0
303744.917302,-0.077388,-0.042449,-0.042650,-81.000000,0
