Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304296.522390,0.022658,-0.031873,0.014430,-70.000000,0
304296.619741,0.014869,-0.013020,0.057254,-2147483648.000000,0
304296.717064,-0.035572,0.064325,0.005783,-2147483648.000000,0
304296.814413,-0.049956,0.074343,-0.013517,-2147483648.000000,0
304296.911764,-0.029260,0.025170,0.046869,-2147483648.000000,0
304297.009116,-0.044891,0.052225,-0.179615,-2147483648.000000,0
304297.106466,-0.027651,0.043371,0.006429,-75.000000,0
304297.203787,-0.052121,0.086498,-0.041260,-75.000000,0
304297.301138,-0.016886,0.089260,-0.052906,-75.000000,0
304297.398502,0.028379,0.060567,0.023185,-75.000000,0
304297.495841,-0.009677,0.074677,-0.115677,-75.000000,0
304297.593160,0.014953,0.085070,0.008561,-75.000000,0
304297.690508,-0.023627,0.089588,0.034751,-75.000000,0
304297.787863,-0.073158,0.116948,0.001231,-75.000000,0
304297.885207,-0.084635,0.077005,-0.006089,-75.000000,0
304297.982538,-0.045077,0.044358,0.007522,-75.000000,0
304298.079885,-0.034325,0.027449,-0.049707,-72.000000,0
304298.177236,-0.059439,0.073087,-0.064297,-72.000000,0
304298.274587,-0.032613,0.053326,-0.010534,-72.000000,0
304298.371938,0.006022,0.051654,0.007455,-72.000000,0
304298.469260,-0.000549,0.031904,-0.003056,-72.000000,0
304298.566610,-0.033386,0.069818,-0.028175,-72.000000,0
304298.663966,-0.040732,0.024588,0.054428,-72.000000,0
304298.761300,-0.042692,0.038012,-0.105281,-72.000000,0
304298.858633,-0.032098,0.073825,-0.040596,-72.000000,0
304298.955984,-0.048311,0.123332,-0.078754,-72.000000,0
304299.053335,-0.029091,0.154548,0.023953,-69.000000,0
304299.150686,-0.033749,0.109966,0.057907,-70.000000,0
304299.248023,-0.045557,0.135611,-0.032804,-70.000000,0
304299.345350,-0.057307,0.109602,-0.058382,-70.000000,0
304299.442709,-0.038705,0.045601,-0.100306,-70.000000,0
304299.540060,0.043030,0.051106,-0.056193,-70.000000,0
304299.637402,0.009600,0.050703,0.190705,-70.000000,0
304299.734732,-0.081460,-0.031854,-0.024891,-70.000000,0
304299.832084,-0.032713,0.046788,-0.001478,-70.000000,0
304299.929416,-0.041322,0.043537,0.074617,-70.000000,0
304300.026689,0.014805,-0.024649,-0.090737,-74.000000,0
304300.124009,0.091720,0.019087,0.013637,-76.000000,0
304300.221357,0.025854,0.060056,0.061392,-76.000000,0
304300.318711,0.077607,0.023149,0.131814,-76.000000,0
304300.416062,-0.000889,-0.032916,-0.021082,-76.000000,0
304300.513398,0.019771,0.054817,-0.017611,-76.000000,0
