Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304372.929777,0.022889,-0.004141,0.014864,-84.000000,0
304373.027129,-0.003378,-0.028171,0.003960,-80.000000,0
304373.124472,-0.007789,-0.008595,0.024324,-79.000000,0
304373.221830,0.013614,-0.058291,0.005782,-79.000000,0
304373.319141,0.002845,-0.096043,-0.004698,-79.000000,0
304373.416502,0.357193,-0.583350,0.208451,-79.000000,0
304373.513854,-0.062533,-0.015399,0.016626,-79.000000,0
304373.611202,0.029857,0.107662,-0.069990,-79.000000,0
304373.708525,0.131031,-0.139968,-0.054496,-79.000000,0
304373.805877,-0.019450,0.074860,0.015315,-79.000000,0
304373.903237,0.057623,-0.079167,0.012771,-74.000000,0
304374.000578,0.142114,-0.077317,-0.080681,-74.000000,0
304374.097929,0.186986,0.047154,-0.192994,-69.000000,0
304374.195250,0.077979,-0.148863,0.066182,-75.000000,0
304374.292601,0.132565,0.185702,-0.100316,-75.000000,0
304374.389952,-0.081529,0.053586,0.045897,-75.000000,0
304374.487303,-0.279937,-0.061012,0.142499,-75.000000,0
304374.584645,-0.200469,0.044627,0.047816,-75.000000,0
304374.681989,-0.217307,0.088209,-0.007052,-75.000000,0
304374.779325,0.014403,0.001721,0.066201,-75.000000,0
304374.876671,0.036359,-0.031216,0.118033,-74.000000,0
304374.974028,0.008537,-0.003186,0.062556,-74.000000,0
304375.071251,0.031588,0.003424,-0.047899,-77.000000,0
304375.168602,-0.187473,0.346306,0.212127,-77.000000,0
304375.265932,-0.097425,0.037405,0.003404,-2147483648.000000,0
304375.363286,-0.098104,0.009971,0.034726,-2147483648.000000,0
304375.460656,0.094643,0.040251,0.015432,-2147483648.000000,0
304375.557977,-0.018059,-0.041747,0.039990,-2147483648.000000,0
304375.655328,-0.001600,-0.014540,-0.002816,-2147483648.000000,0
304375.752685,0.006820,-0.018121,-0.005337,-90.000000,0
304375.850005,-0.003467,0.026258,-0.001620,-90.000000,0
304375.947351,-0.022035,-0.044418,-0.018556,-81.000000,0
304376.044702,0.029014,-0.013391,-0.018450,-77.000000,0
304376.142049,0.023408,0.016731,-0.012158,-74.000000,0
304376.239404,-0.010034,-0.025066,0.027812,-74.000000,0
304376.336756,-0.021925,-0.009214,0.030270,-74.000000,0
304376.434076,0.016115,-0.009706,0.058687,-74.000000,0
304376.531425,-0.152312,-0.062766,0.083058,-74.000000,0
304376.628778,0.011843,-0.022439,0.077733,-74.000000,0
304376.726130,0.029776,-0.021632,0.060763,-73.000000,0
304376.823449,0.064023,-0.019132,0.041146,-73.000000,0
304376.920801,0.085980,-0.054611,0.036811,-73.000000,0
304377.018152,0.074789,-0.063049,0.040807,-73.000000,0
304377.115499,0.013535,-0.004537,0.091268,-95.000000,0
304377.212825,-0.134695,0.009402,0.075402,-95.000000,0
304377.310174,-0.115958,0.006060,0.040990,-95.000000,0
304377.407525,0.012897,0.000518,0.041885,-95.000000,0
304377.504876,0.008326,-0.013104,0.038438,-95.000000,0
304377.602227,0.015459,-0.012048,0.053788,-95.000000,0
304377.699548,-0.053458,-0.002876,0.047944,-95.000000,0
304377.796902,0.016392,-0.039436,0.065696,-97.000000,0
304377.894250,-0.013888,-0.015557,0.038157,-85.000000,0
304377.991578,0.031951,-0.029982,0.017398,-85.000000,0
304378.088922,0.012450,-0.036469,0.015266,-82.000000,0
304378.186274,0.026527,-0.010695,-0.000053,-98.000000,0
304378.283625,0.000546,-0.037156,0.021578,-98.000000,0
304378.380976,0.017919,-0.029062,0.021782,-98.000000,0
304378.478291,0.017343,-0.017614,-0.001242,-98.000000,0
304378.575647,-0.008311,0.002300,0.024379,-98.000000,0
304378.672995,-0.015931,0.005025,-0.013032,-98.000000,0
304378.770350,-0.059735,0.003723,-0.037550,-85.000000,0
304378.867685,-0.044200,0.015006,0.000602,-85.000000,0
304378.965021,0.002412,-0.046073,0.028860,-84.000000,0
304379.062372,0.025613,-0.055771,0.013666,-78.000000,0
304379.159716,0.000878,0.003080,-0.006958,-84.000000,0
304379.257043,-0.016404,-0.021326,0.005622,-84.000000,0
304379.354397,-0.014621,-0.010256,0.014567,-84.000000,0
