Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
303383.358204,-0.015125,0.028714,-0.119380,-85.000000,0
303383.455555,0.024908,0.002100,0.035554,-85.000000,0
303383.552906,0.004417,0.007107,-0.027601,-85.000000,0
303383.650209,-0.003284,0.000872,-0.004251,-85.000000,0
303383.747578,-0.002038,0.010401,-0.002939,-85.000000,0
303383.844899,0.012045,0.006614,0.008120,-85.000000,0
303383.942250,0.005143,-0.001645,0.007451,-85.000000,0
303384.039601,0.002197,0.004204,-0.013596,-85.000000,0
303384.136921,-0.002970,0.010730,0.010289,-85.000000,0
303384.234273,-0.002393,0.008617,0.008930,-85.000000,0
303384.331598,-0.000195,-0.000559,0.004068,-88.000000,0
303384.428944,-0.011074,0.011680,-0.021211,-88.000000,0
303384.526295,-0.012662,0.019283,-0.005112,-88.000000,0
303384.623616,0.065011,-0.043180,0.074801,-88.000000,0
303384.720968,0.029936,0.029894,-0.076854,-88.000000,0
303384.818200,0.016971,0.000088,0.026500,-88.000000,0
303384.915526,0.008693,-0.000050,0.009391,-88.000000,0
303385.012871,-0.002132,0.011976,-0.007918,-88.000000,0
303385.110192,-0.012414,0.003103,-0.015884,-88.000000,0
303385.207543,-0.005194,0.000903,-0.015227,-88.000000,0
303385.304895,0.004026,0.004610,0.012872,-88.000000,0
303385.402215,0.004991,-0.000177,0.000227,-91.000000,0
303385.499566,0.017182,0.003633,-0.006130,-91.000000,0
303385.596902,0.028447,0.003650,0.018748,-91.000000,0
303385.694238,0.014519,0.007751,-0.011147,-91.000000,0
303385.791588,0.025477,0.013387,0.003023,-91.000000,0
303385.888909,0.019726,0.014397,-0.004922,-91.000000,0
303385.986260,-0.005120,0.019894,-0.004221,-91.000000,0
303386.083588,-0.005788,0.022696,0.007259,-91.000000,0
303386.180952,0.004819,0.034814,-0.016530,-91.000000,0
303386.278283,-0.001257,0.021494,-0.004111,-91.000000,0
303386.375635,-0.034188,0.017340,0.003744,-89.000000,0
303386.472954,-0.044835,0.014767,0.011519,-89.000000,0
303386.570306,-0.043372,0.006180,0.005732,-89.000000,0
303386.667626,-0.050114,-0.002590,-0.017301,-89.000000,0
303386.764986,-0.046759,-0.004054,-0.014662,-89.000000,0
303386.862318,-0.046238,-0.001936,-0.025074,-89.000000,0
303386.959648,-0.024885,-0.008826,0.003906,-89.000000,0
303387.057001,-0.019903,0.005770,0.003243,-89.000000,0
303387.154321,-0.026485,0.023227,-0.004343,-89.000000,0
