Time,Acc_X,Acc_Y,Acc_Z,RSSI,Unlock Requested
304416.181377,-0.021597,0.073059,-0.131778,-73.000000,0
304416.278704,0.020693,0.063524,0.116405,-61.000000,0
304416.376070,0.050671,0.041256,0.012811,-61.000000,0
304416.473411,0.052779,0.018370,-0.083825,-61.000000,0
304416.570758,0.015806,0.026394,0.004313,-61.000000,0
304416.668078,-0.050426,0.068994,-0.020531,-61.000000,0
304416.765428,-0.073796,0.062549,0.034820,-61.000000,0
304416.862780,0.026527,0.018254,0.082534,-61.000000,0
304416.960131,0.002492,0.019178,-0.008383,-61.000000,0
304417.057450,-0.001163,0.057187,-0.000644,-61.000000,0
304417.154802,0.004059,0.044063,0.033486,-96.000000,0
304417.252153,-0.050279,0.007020,0.031412,-70.000000,0
304417.349504,-0.080522,0.036927,-0.082670,-70.000000,0
304417.446825,-0.056151,-0.047282,-0.056018,-70.000000,0
304417.641527,-0.062441,0.060849,0.058279,-2147483648.000000,0
304417.738864,-0.028890,0.032349,0.010784,-2147483648.000000,0
304417.836200,-0.065731,0.007408,-0.069179,-2147483648.000000,0
304417.933558,-0.074384,0.041507,-0.035729,-2147483648.000000,0
304418.030901,-0.024758,0.058546,-0.030559,-59.000000,0
304418.128221,-0.016232,0.033603,-0.007081,-59.000000,0
304418.225573,-0.016874,0.036976,-0.001881,-59.000000,0
304418.322919,0.006047,0.047276,-0.011279,-59.000000,0
304418.420276,-0.025167,0.041344,-0.052961,-59.000000,0
304418.517595,-0.019555,0.032559,0.026248,-59.000000,0
304418.614946,0.000591,0.050244,0.006886,-59.000000,0
304418.712298,0.013370,0.046903,0.003811,-59.000000,0
304418.809648,-0.074030,0.034069,-0.040884,-59.000000,0
304418.906970,-0.045488,0.065365,0.052982,-59.000000,0
304419.004307,0.003773,0.060481,-0.042152,-59.000000,0
304419.101671,0.007262,0.101959,-0.061462,-63.000000,0
304419.198992,0.097453,0.034988,0.050392,-64.000000,0
304419.296343,0.003739,-0.004968,-0.027843,-61.000000,0
304419.393695,-0.006002,-0.003091,0.006846,-61.000000,0
304419.491045,-0.015030,0.001274,-0.004424,-61.000000,0
304419.588365,0.010006,-0.028390,-0.089002,-61.000000,0
304419.685711,0.018589,0.028240,-0.045648,-61.000000,0
304419.783068,0.077059,0.010965,0.072817,-61.000000,0
304419.880419,0.022662,0.058083,0.036980,-61.000000,0
304419.977739,-0.047093,0.061246,-0.037121,-61.000000,0
304420.074966,-0.015789,0.009573,-0.021495,-64.000000,0
304420.172308,0.027547,-0.035757,0.052084,-62.000000,0
304420.269664,-0.042513,0.089463,-0.154303,-70.000000,0
304420.366988,-0.019490,0.089744,0.061324,-70.000000,0
304420.464340,-0.043129,0.066682,-0.025291,-70.000000,0
304420.561691,-0.068988,0.059806,-0.023536,-70.000000,0
304420.659013,-0.024963,0.067329,-0.012242,-70.000000,0
304420.756363,-0.002189,0.051668,0.010466,-70.000000,0
304420.853715,-0.038904,0.049467,0.028670,-70.000000,0
304420.951052,-0.033574,0.029593,-0.121740,-70.000000,0
304421.048401,-0.018834,0.091761,-0.031899,-56.000000,0
304421.145737,-0.015329,0.087233,0.026379,-56.000000,0
